cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E2_A1,209,Biased,MI,1,f,443,,620,Dog8_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,g,408,,584,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MC,0,l,1189,,449,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,663,,514,Bird2_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,f,731,,403,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,991,,357,Cat2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,797,,425,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,765,,371,Cat2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,0,f,838,,359,Bird7_incD.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,d,685,,536,Bird7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,925,,673,Dog10_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,486,,592,Fish10_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,583,,470,Fish3_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,579,,855,Bird5_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,985,,629,Dog8_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,819,,725,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,537,,600,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,523,,551,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,629,,578,Fish3_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,718,,521,Cat9_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,0,l,1495,,400,Bird8_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,g,958,,503,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MI,0,l,1008,,546,Dog8_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,705,,539,Bird2_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,643,,601,Bird8_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,988,,697,Dog5_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,574,,526,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,484,,614,Bird2_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,792,,574,Fish9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,742,,813,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,535,,621,Fish3_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,606,,433,Fish10_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,511,,735,Cat7_incD.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,d,509,,692,Bird8_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,579,,492,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,556,,553,Dog8_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,0,l,1309,,375,Dog10_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,598,,637,Bird5_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,572,,600,Dog5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,920,,661,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,545,,633,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,674,,593,Cat2_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,g,716,,629,Cat9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,0,l,545,,2498,Bird2_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,824,,652,Cat2_incD.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,627,,456,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,618,,568,Dog5_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,738,,544,Fish3_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,677,,350,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,0,l,956,,300,Fish3_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,640,,496,Bird8_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,816,,515,Cat10_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,522,,691,Dog10_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,0,l,1240,,691,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,818,,682,Fish9_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,677,,452,Fish9_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,819,,531,Dog8_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,746,,580,Dog5_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,623,,711,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,523,,635,Dog5_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,643,,616,Fish9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,551,,440,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,585,,553,Dog5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,770,,554,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,0,l,912,,438,Fish9_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,464,,625,Cat9_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,570,,852,Dog5_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,451,,566,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,508,,690,Dog5_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,h,465,,716,Fish5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,411,,674,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,535,,647,Dog5_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,1236,,889,Dog5_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,565,,704,Cat2_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,722,,672,Fish9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,0,l,845,,557,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,659,,755,Bird2_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,633,,561,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,757,,425,Cat7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,555,,659,Fish5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,600,,830,Cat10_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,477,,626,Dog10_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,666,,561,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,443,,655,Dog5_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,608,,812,Cat9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,580,,652,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,721,,460,Dog8_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,641,,639,Bird5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,662,,586,Bird7_con.bmp,1
